,Park Name,State,Mammals,Reptiles,Amphibians,Birds,Fish,Insects,Mollusks,Crustaceans,Vascular Plants,Non-Vascular Plants,Fungi,Total
0,Acadia National Park ,ME,22,8,8,283,8,459,4,5,416,70,48,1331
1,Saint Croix Island International Historic Site ,ME,0,0,0,24,0,0,0,0,26,3,5,58
2,Saint-Gaudens National Historic Site ,NH,0,0,0,28,0,0,0,0,25,7,5,65
3,Appalachian National Scenic Trail ,NH,32,12,11,464,11,562,2,3,437,111,83,1728
4,White Mountain National Forest ,NH,35,3,3,140,3,163,0,0,568,91,39,1045
5,Marsh-Billings-Rockefeller National Historical Park ,VT,20,7,12,114,0,86,0,0,539,112,35,925
6,Adams National Historical Park ,MA,0,0,0,32,0,0,0,0,53,4,8,97
7,Boston African American National Historic Site ,MA,0,0,0,0,0,0,0,0,0,0,0,0
8,Boston Harbor Islands National Recreation Area ,MA,6,3,3,110,2,174,2,0,367,50,11,728
9,Cape Cod National Seashore ,MA,10,5,6,202,4,170,5,1,447,67,24,941
10,John F. Kennedy National Historic Site ,MA,0,0,0,0,0,0,0,0,0,0,0,0
11,Roger Williams National Memorial ,RI,0,0,0,0,0,0,0,0,24,4,4,32
12,Weir Farm National Historic Site ,CT,0,0,0,0,0,0,0,0,88,10,8,106
